Channel,Elevation,Azimuth,
1,14.436,3.257,
2,13.535,3.263,
3,13.082,1.091,
4,12.624,3.268,
5,12.165,1.093,
6,11.702,3.273,
7,11.239,1.094,
8,10.771,3.278,
9,10.305,1.095,
10,9.83,3.283,
11,9.356,1.096,
12,8.88,3.288,
13,8.401,1.097,
14,7.921,3.291,
15,7.438,1.098,
16,6.953,-1.101,
17,6.467,1.1,
18,5.978,-1.104,
19,5.487,-3.306,
20,4.996,-1.106,
21,4.501,-3.311,
22,4.007,-1.109,
23,3.509,-3.318,
24,3.013,-1.111,
25,2.512,-3.324,
26,2.013,-1.113,
27,1.885,7.72,
28,1.761,5.535,
29,1.637,3.325,
30,1.511,-3.33,
31,1.386,1.107,
32,1.258,-5.538,
33,1.13,-7.726,
34,1.008,-1.115,
35,0.88,7.731,
36,0.756,5.543,
37,0.63,3.329,
38,0.505,-3.336,
39,0.379,1.108,
40,0.251,-5.547,
41,0.124,-7.738,
42,0,-1.117,
43,-0.129,7.743,
44,-0.254,5.551,
45,-0.38,3.335,
46,-0.506,-3.342,
47,-0.632,1.11,
48,-0.76,-5.555,
49,-0.887,-7.75,
50,-1.012,-1.119,
51,-1.141,7.757,
52,-1.266,5.56,
53,-1.393,3.34,
54,-1.519,-3.347,
55,-1.646,1.111,
56,-1.773,-5.564,
57,-1.901,-7.762,
58,-2.027,-1.121,
59,-2.155,7.768,
60,-2.282,5.569,
61,-2.409,3.345,
62,-2.535,-3.353,
63,-2.663,1.113,
64,-2.789,-5.573,
65,-2.916,-7.775,
66,-3.044,-1.123,
67,-3.172,7.78,
68,-3.299,5.578,
69,-3.425,3.351,
70,-3.552,-3.358,
71,-3.68,1.115,
72,-3.806,-5.582,
73,-3.933,-7.787,
74,-4.062,-1.125,
75,-4.19,7.792,
76,-4.318,5.586,
77,-4.444,3.356,
78,-4.571,-3.363,
79,-4.699,1.116,
80,-4.824,-5.591,
81,-4.951,-7.799,
82,-5.081,-1.127,
83,-5.209,7.804,
84,-5.336,5.595,
85,-5.463,3.36,
86,-5.589,-3.369,
87,-5.718,1.118,
88,-5.843,-5.599,
89,-5.968,-7.811,
90,-6.1,-1.129,
91,-6.607,-3.374,
92,-7.117,-1.13,
93,-7.624,-3.379,
94,-8.134,-1.132,
95,-8.64,-3.383,
96,-9.149,3.381,
97,-9.652,-3.388,
98,-10.16,3.386,
99,-10.665,1.129,
100,-11.17,3.39,
101,-11.672,1.129,
102,-12.174,3.395,
103,-12.673,1.131,
104,-13.173,3.401,
105,-13.67,1.133,
106,-14.166,3.406,
107,-14.66,1.135,
108,-15.154,3.41,
109,-15.645,1.137,
110,-16.135,3.416,
111,-16.622,1.139,
112,-17.106,-1.142,
113,-17.592,1.142,
114,-18.072,-1.143,
115,-18.548,-3.426,
116,-19.03,-3.426,
117,-19.501,-1.144,
118,-19.978,-3.429,
119,-20.445,-1.145,
120,-20.918,-3.433,
121,-21.379,-1.145,
122,-21.848,-3.436,
123,-22.304,-1.146,
124,-22.768,-3.44,
125,-23.219,-1.146,
126,-23.678,-3.443,
127,-24.123,-3.446,
128,-25.016,-3.449,
